1.1 Tools and Libraries:,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Mockito,,,,,,,,,
1.2 Scope of Testing,,,,,,,,,
Các thành phần được kiểm thử,Tệp,"ClassroomServiceImplTest, InvitationServiceImplTest, AnnouncementServiceImplTest, CommentServiceImplTest, ClassroomStatisticsServiceImplTest",,,,,,,
,Hàm,"createAnnouncement(), getAnnouncementList(), getAnnouncementDetail(), updateAnnouncement(), deleteAnnouncement(), notifyAnnouncement(), getDetailClassroom(), getClassroomHeader(), searchClassroom(), createClassroom(), updateClassroom(), resetClassCode(), getDetailClassroomSetting(), updateClassroomSetting(), updateClassMemberStatus(), getAverageScoreComparision(), getImprovementTrend(), createComment(), getCommentList(), updateComment(), deleteComment(), sendBulkInvitation(), joinClassroomByCode()",,,,,,,
Các thành phần không được kiểm thử,"- Các thao tác với CSDL qua các lớp Repository (đã được mock).
- Tầng Controller (HTTP Routing).",,,,,,,,
,,,,,,,,,
TestcaseID,Chức năng/use case,Lớp,Phương thức,Mục tiêu kiểm thử,Input (Dữ liệu mock),Expected output,Actual output,Kết quả,Ghi chú
LH_BD_01,Tạo bài đăng,AnnouncementServiceImplTest,createAnnouncement_Success_PersistsAnnouncementAndAttachments,Đảm bảo tạo bài đăng hoạt động đúng với dữ liệu mock hợp lệ và trả/lưu kết quả theo kỳ vọng.,CurrentUser mock; CLASSROOM_ID=10; Attachment mock: slide.pdf/old.pdf/new.pdf,Announcement được lưu; attachment được lưu nếu có; notificationService.createNotificationForClass() được gọi.,Kết quả giống với mong đợi,Pass,Positive Test - kiểm tra luồng xử lý hợp lệ.
LH_BD_02,Tạo bài đăng,AnnouncementServiceImplTest,createAnnouncement_Success_StudentCreatesGenericWhenPostAllowed,Đảm bảo tạo bài đăng hoạt động đúng với dữ liệu mock hợp lệ và trả/lưu kết quả theo kỳ vọng.,CurrentUser=STUDENT_ID; CLASSROOM_ID=10,Announcement được lưu; attachment được lưu nếu có; notificationService.createNotificationForClass() được gọi.,Kết quả giống với mong đợi,Pass,Positive Test - kiểm tra luồng xử lý hợp lệ.
LH_BD_03,Tạo bài đăng,AnnouncementServiceImplTest,createAnnouncement_Fail_ThrowsWhenClassroomMissing,Đảm bảo tạo bài đăng xử lý đúng trường hợp lỗi: fail_throws when classroom missing.,CurrentUser mock; CLASSROOM_ID=10; classroomRepository trả Optional.empty(),Ném AppException do không tìm thấy dữ liệu liên quan; không lưu thay đổi.,Kết quả giống với mong đợi,Pass,Negative Test - kiểm tra xử lý lỗi/validation/phân quyền.
LH_BD_04,Tạo bài đăng,AnnouncementServiceImplTest,createAnnouncement_Fail_ThrowsWhenUserHasNoClassroomAccess,Đảm bảo tạo bài đăng xử lý đúng trường hợp lỗi: fail_throws when user has no classroom access.,CurrentUser mock; CLASSROOM_ID=10; Không phải teacher/member active,Ném AppException do không có quyền truy cập/phân quyền không hợp lệ; không gọi repository xử lý chính.,Kết quả giống với mong đợi,Pass,Negative Test - kiểm tra xử lý lỗi/validation/phân quyền.
LH_BD_05,Tạo bài đăng,AnnouncementServiceImplTest,createAnnouncement_Fail_ThrowsWhenMemberInactive,Đảm bảo tạo bài đăng xử lý đúng trường hợp lỗi: fail_throws when member inactive.,CurrentUser mock; CLASSROOM_ID=10; ClassMemberStatus=INACTIVE,Ném AppException/NullPointerException theo kịch bản lỗi; không lưu dữ liệu mới; repository save không được gọi khi phù hợp.,Kết quả giống với mong đợi,Pass,Negative Test - kiểm tra xử lý lỗi/validation/phân quyền.
LH_BD_06,Tạo bài đăng,AnnouncementServiceImplTest,createAnnouncement_Fail_ThrowsWhenStudentPostDisabled,Đảm bảo tạo bài đăng xử lý đúng trường hợp lỗi: fail_throws when student post disabled.,CurrentUser=STUDENT_ID; CLASSROOM_ID=10; allowStudentPost=false,Ném AppException/NullPointerException theo kịch bản lỗi; không lưu dữ liệu mới; repository save không được gọi khi phù hợp.,Kết quả giống với mong đợi,Pass,Negative Test - kiểm tra xử lý lỗi/validation/phân quyền.
LH_BD_07,Tạo bài đăng,AnnouncementServiceImplTest,createAnnouncement_Fail_ThrowsWhenStudentPostsMaterial,Đảm bảo tạo bài đăng xử lý đúng trường hợp lỗi: fail_throws when student posts material.,CurrentUser=STUDENT_ID; CLASSROOM_ID=10; AnnouncementType=MATERIAL,Ném AppException/NullPointerException theo kịch bản lỗi; không lưu dữ liệu mới; repository save không được gọi khi phù hợp.,Kết quả giống với mong đợi,Pass,Negative Test - kiểm tra xử lý lỗi/validation/phân quyền.
LH_BD_08,Xem danh sách bài đăng,AnnouncementServiceImplTest,getAnnouncementList_Success_ReturnsAnnouncementsForTeacher,Đảm bảo xem danh sách bài đăng hoạt động đúng với dữ liệu mock hợp lệ và trả/lưu kết quả theo kỳ vọng.,CurrentUser=TEACHER_ID; CLASSROOM_ID=10,Trả về ResponseListData chứa danh sách bài đăng; kiểm tra quyền canEdit/canDelete và filter type.,Kết quả giống với mong đợi,Pass,Positive Test - kiểm tra luồng xử lý hợp lệ.
LH_BD_09,Xem danh sách bài đăng,AnnouncementServiceImplTest,getAnnouncementList_Success_UsesFilterType,Đảm bảo xem danh sách bài đăng hoạt động đúng với dữ liệu mock hợp lệ và trả/lưu kết quả theo kỳ vọng.,CurrentUser mock; CLASSROOM_ID=10; Filter type=MATERIAL,Trả về ResponseListData chứa danh sách bài đăng; kiểm tra quyền canEdit/canDelete và filter type.,Kết quả giống với mong đợi,Pass,Positive Test - kiểm tra luồng xử lý hợp lệ.
LH_BD_10,Xem danh sách bài đăng,AnnouncementServiceImplTest,getAnnouncementList_Fail_ThrowsWhenUserHasNoClassroomAccess,Đảm bảo xem danh sách bài đăng xử lý đúng trường hợp lỗi: fail_throws when user has no classroom access.,CurrentUser mock; CLASSROOM_ID=10; Không phải teacher/member active,Ném AppException do không có quyền truy cập/phân quyền không hợp lệ; không gọi repository xử lý chính.,Kết quả giống với mong đợi,Pass,Negative Test - kiểm tra xử lý lỗi/validation/phân quyền.
LH_BD_11,Xem chi tiết bài đăng,AnnouncementServiceImplTest,getAnnouncementDetail_Success_ReturnsPermissionsForOwnerStudent,Đảm bảo xem chi tiết bài đăng hoạt động đúng với dữ liệu mock hợp lệ và trả/lưu kết quả theo kỳ vọng.,CurrentUser=STUDENT_ID; CLASSROOM_ID=10,"Trả về AnnouncementResponse đúng id, attachment và quyền canEdit/canDelete theo vai trò.",Kết quả giống với mong đợi,Pass,Positive Test - kiểm tra luồng xử lý hợp lệ.
LH_BD_12,Xem chi tiết bài đăng,AnnouncementServiceImplTest,getAnnouncementDetail_Success_TeacherCanEditAndDelete,Đảm bảo xem chi tiết bài đăng hoạt động đúng với dữ liệu mock hợp lệ và trả/lưu kết quả theo kỳ vọng.,CurrentUser=TEACHER_ID; CLASSROOM_ID=10,"Trả về AnnouncementResponse đúng id, attachment và quyền canEdit/canDelete theo vai trò.",Kết quả giống với mong đợi,Pass,Positive Test - kiểm tra luồng xử lý hợp lệ.
LH_BD_13,Xem chi tiết bài đăng,AnnouncementServiceImplTest,getAnnouncementDetail_Success_NonOwnerStudentCannotEditOrDelete,Đảm bảo xem chi tiết bài đăng hoạt động đúng với dữ liệu mock hợp lệ và trả/lưu kết quả theo kỳ vọng.,CurrentUser=STUDENT_ID; CLASSROOM_ID=10,"Trả về AnnouncementResponse đúng id, attachment và quyền canEdit/canDelete theo vai trò.",Kết quả giống với mong đợi,Pass,Positive Test - kiểm tra luồng xử lý hợp lệ.
LH_BD_14,Xem chi tiết bài đăng,AnnouncementServiceImplTest,getAnnouncementDetail_Fail_ThrowsWhenAnnouncementMissing,Đảm bảo xem chi tiết bài đăng xử lý đúng trường hợp lỗi: fail_throws when announcement missing.,CurrentUser mock; CLASSROOM_ID=10; announcementRepository trả Optional.empty(),Ném AppException do không tìm thấy dữ liệu liên quan; không lưu thay đổi.,Kết quả giống với mong đợi,Pass,Negative Test - kiểm tra xử lý lỗi/validation/phân quyền.
LH_BD_15,Xem chi tiết bài đăng,AnnouncementServiceImplTest,getAnnouncementDetail_Fail_ThrowsWhenUserHasNoClassroomAccess,Đảm bảo xem chi tiết bài đăng xử lý đúng trường hợp lỗi: fail_throws when user has no classroom access.,CurrentUser mock; CLASSROOM_ID=10; Không phải teacher/member active,Ném AppException do không có quyền truy cập/phân quyền không hợp lệ; không gọi repository xử lý chính.,Kết quả giống với mong đợi,Pass,Negative Test - kiểm tra xử lý lỗi/validation/phân quyền.
LH_BD_16,Cập nhật bài đăng,AnnouncementServiceImplTest,updateAnnouncement_Success_OwnerUpdatesAnnouncement,Đảm bảo cập nhật bài đăng hoạt động đúng với dữ liệu mock hợp lệ và trả/lưu kết quả theo kỳ vọng.,CurrentUser mock; CLASSROOM_ID=10,Announcement được cập nhật title/content/allowComments; attachment được thêm/giữ/xóa mềm đúng request.,Kết quả giống với mong đợi,Pass,Positive Test - kiểm tra luồng xử lý hợp lệ.
